51,47,17,257559,81871,62262,24608,114300,77116,35056,8784,0
0,54,20,913749,48923,7290,6681,8718,5641,6447,1625,0
0,40,16,74752,76544,8359,13354,9429,1891,2128,943,0
0,29,27,371456,173393,19429,124490,39919,9576,1899,3950,0
0,21,30,298137,291186,34236,2630,18088,14153,9683,5615,1
0,17,43,117696,19232,1120,19375,1263,2597,962,590,1
0,30,47,284698,158124,46963,19447,32254,15660,4867,3504,1
0,38,43,121665,65925,28080,17760,44021,6661,4560,3434,1
0,54,50,114016,38611,1144,16977,10514,14195,5808,4574,1
0,56,57,1639081,29808,76458,49870,7228,12109,4505,6626,0
0,64,60,464404,72362,21849,19222,9036,19037,5778,2141,0
0,63,66,272501,32979,7107,27596,9069,3744,4504,3591,0
0,50,83,87866,23046,16012,65411,6229,6340,2750,1601,0
0,48,84,120291,23889,15119,133837,10646,10336,1787,2851,0
0,26,84,681366,200205,13551,83807,23378,6048,9896,3447,1
0,29,78,618855,82634,20251,24982,36961,9994,7813,6704,1
0,27,77,968503,26298,8982,65562,10907,5394,7631,2989,1
0,27,75,161670,29147,31337,98854,6405,11144,7093,3335,1
0,29,63,500836,267731,16138,13995,13406,7009,6116,2430,1
0,21,60,259391,290494,42078,36937,11928,10477,2727,1662,0
0,16,51,589013,159023,13018,85933,8192,8218,8370,2904,0
0,11,38,159118,116639,6886,77632,17329,7246,6014,1987,0
0,14,67,502375,26460,35768,112938,6705,5310,4182,1118,0
0,21,77,502581,121586,21053,79026,20550,13764,5031,3908,0
0,27,66,163805,59897,2198,10459,7780,4368,847,983,1
0,44,69,76093,19736,20926,23549,10925,13572,2853,3788,1
0,61,54,436691,63288,37466,16285,16740,20517,1527,4207,1
0,70,51,400568,36201,15607,10600,9722,12204,7242,1435,1
0,83,57,806521,41848,8207,16421,3541,15803,4458,2629,1
0,70,43,745627,222680,12243,31671,12865,18334,10710,4457,0
0,64,44,202805,30548,133,24509,951,5022,4578,822,0
0,54,53,507460,120336,20381,180053,27881,19802,7586,3898,0
0,37,57,519735,213331,128220,73875,21188,13003,6148,14627,0
0,35,75,220419,36579,8729,64051,15135,6597,8196,2115,0
0,44,67,406907,11263,6557,2631,11928,5047,2090,1221,1
0,44,56,2068407,234262,34420,41001,15838,20376,4720,6353,1
0,54,43,361441,119799,15420,12254,30888,13473,5045,2002,1
0,61,41,2221540,54472,37955,72251,48326,19232,7578,5957,1
0,51,56,619023,20032,17261,82784,18359,9488,4596,2804,1
0,57,61,67962,6390,1789,1886,1332,1240,1179,287,0
0,50,77,65088,65678,33447,62222,19144,5653,5216,1539,0
0,53,78,75591,13982,27867,22574,13576,10558,3892,3929,0
0,48,66,292361,34367,5918,10953,3845,2381,1192,338,0
0,40,66,500998,333325,82852,111786,23833,29658,26870,18748,0
0,56,66,632930,10335,8563,10201,5436,6334,2574,2018,1
0,43,48,150399,12400,1322,985,2348,655,376,231,1
0,50,44,1895631,226187,50897,22883,34967,29628,10568,11873,1
0,56,44,723883,34114,8023,14783,4514,5410,2645,1470,1
0,56,40,844872,113297,39064,56220,24552,47129,7978,2727,1
0,78,43,60899,64269,6615,23323,25340,38007,11824,4275,0
0,70,40,41831,50403,4863,7090,5707,3095,504,556,0
0,61,48,373529,105026,8089,192761,10230,9582,2448,1689,0
0,47,48,352742,117609,7256,65905,17815,9593,1687,1464,0
0,38,51,248881,160829,10273,47438,11484,35824,11591,7186,0
0,43,56,237270,60464,13718,11644,1716,7211,3722,1464,1
0,57,48,769552,12481,2706,8197,3144,3408,1126,854,1
0,60,50,1212298,211183,144416,37568,39033,24230,12817,4747,1
0,56,48,165369,76646,6629,17185,6283,10623,5594,3115,1
0,56,44,867396,66187,8652,10951,8345,8104,2167,2046,0
0,57,48,90976,24406,15980,21521,7456,10471,3048,1496,0
0,54,51,62507,49840,22154,30087,5077,4780,2513,5431,0
0,47,69,561115,33080,60654,85373,18984,6734,3099,968,0
0,50,80,177043,14132,11906,5756,2557,4225,1832,508,0
0,48,64,353108,38674,5182,2656,9081,6272,1662,488,0
0,57,63,91570,14589,5366,8574,3851,3860,1600,894,1
0,67,57,520739,47437,55380,76325,43403,18734,11178,11582,1
0,61,43,753817,79235,4224,6637,3858,5637,2894,710,1
0,70,53,218486,22150,24067,11012,18199,19423,12505,9672,1
0,69,41,146629,31187,1165,5453,6083,5364,1132,1381,1
0,69,26,1760626,133563,15869,26481,46982,16791,6761,4454,0
0,66,41,95163,48500,30540,24993,15542,5189,5155,1725,0
0,57,51,685320,38045,69295,47499,9801,24310,2285,2152,0
0,47,61,1118255,120317,16030,51555,17768,7061,10347,1862,0
0,44,64,43482,59798,6714,21347,12079,7714,3467,3261,0
0,50,70,397395,31408,11285,111944,23170,13475,5481,2815,1
0,51,54,2313102,151152,12567,35896,20641,33660,6742,3838,1
0,56,57,614898,46099,31736,17278,15136,5790,14286,2467,1
0,51,56,538818,65674,8122,15311,6076,4215,1622,1042,1
0,51,50,611737,82098,28635,77108,25510,17125,3807,4471,1
0,43,56,2088255,190056,86905,39663,33007,23316,15328,8755,0
0,56,47,367191,65891,14483,12251,35385,23215,7032,1848,0
0,61,56,185104,44535,44999,20200,14668,8398,4113,3921,0
0,53,51,55414,128462,5173,79510,35615,9176,3437,904,0
0,51,54,204910,24672,5102,19335,7098,2836,1514,727,0
0,34,60,475221,193496,38069,49389,21999,10487,2787,2335,0
0,30,50,1939419,322983,33499,74338,20705,29227,3730,7437,1
0,24,50,35271,103638,24129,28485,7547,3391,3134,656,1
0,35,44,1589402,157233,51460,31754,35789,38147,16053,4780,1
0,34,43,1236527,41112,13246,2409,6508,1800,3450,588,1
0,29,50,566919,233876,117255,82847,10462,19529,8907,6421,1
0,48,47,2836570,266495,50804,47699,21738,57001,49494,8305,0
0,35,43,157566,118107,25489,6589,11107,6429,4795,3148,0
0,51,47,126492,29746,10393,13923,6185,10962,4054,2721,0
0,54,48,1329043,70178,16510,79245,24752,10420,3274,1012,0
0,44,64,67720,8672,10129,26572,8266,2474,707,625,0
0,47,64,507166,405103,24358,92989,80148,24842,4997,3523,1
0,35,60,506014,287689,68854,36780,26127,25531,12295,9170,1
0,37,53,1565210,577906,114152,133959,17497,59682,21911,49875,1
