a,b,c,d,e,f,g,h,i,j,k,l
0,75,63,330253,24413,10007,73217,27672,23642,8542,3090,1
0,60,64,155112,80889,56932,76622,12940,6534,6385,2926,1
0,54,53,620669,151120,38338,26102,8895,14689,13702,5645,1
0,53,56,960259,91755,31227,24547,24670,17193,12994,3860,1
0,56,51,671521,17317,13923,33369,40177,20197,11766,15204,1
0,67,37,475829,160652,6850,45880,29110,17160,7857,7686,1
0,61,30,1605983,576359,80354,54696,45867,24845,17298,9351,0
0,51,41,32613,38709,20078,33788,2965,3997,10932,2832,0
0,47,47,11856,16710,36242,3353,11691,11251,4470,1736,0
0,54,47,8377,28733,5128,8318,20278,6773,3895,3741,0
0,66,56,5547,49953,36173,18383,7627,10339,7555,3391,0
0,70,56,7126,9455,17449,33779,29142,4325,10162,5155,0
0,77,47,1990,12166,2509,6816,11166,6945,8633,2251,0
0,81,56,5254,11650,13497,5824,6807,7382,10324,2035,0
0,91,57,1681,10478,5137,18651,6089,9338,9368,2038,0
0,100,56,11354,5411,5345,13457,4767,10123,10188,2672,0
0,93,61,428601,99759,15139,61801,37160,11752,20893,8244,1
0,80,69,112174,9007,5060,18172,862,2100,1167,431,1
0,64,80,41511,17952,14905,90105,5786,8355,1813,8373,1
0,47,81,21035,23329,17582,31663,14776,5992,9821,6940,1
0,34,83,345409,38179,10293,12466,2238,1272,2196,978,1
0,20,91,53743,16531,26044,171049,9611,4191,10217,2269,1
0,10,90,29731,43034,7357,153097,3998,5762,21028,2430,1
0,8,94,3006,13656,27689,92731,32627,8861,5943,3455,1
0,27,100,43583,14355,31996,42432,4465,12031,12285,3350,1
0,50,94,5661,13994,17748,23477,4741,7297,2529,2172,1
0,54,84,245262,136228,131238,58206,15900,14437,5399,7007,0
0,57,74,88384,21383,8346,9471,8557,3558,3014,1324,0
0,64,66,18257,5771,12305,4207,5078,5134,17306,1509,0
0,69,54,31312,32364,5607,20433,8602,12293,3326,3129,0
0,83,41,408910,45006,8819,4665,5473,8661,3347,1919,0
0,88,47,392507,17224,27360,2337,10495,7056,5344,2797,0
0,88,37,7663,21492,7525,7286,11737,7864,7120,2153,0
0,88,41,3895,10715,5180,9661,4030,5228,6467,1295,0
0,80,61,53179,15282,36972,36295,6620,6175,9131,2886,0
0,74,50,29559,63054,3487,11072,2922,6219,9205,2346,0
0,63,56,217634,25612,16150,10719,9457,4275,2430,2034,1
0,43,50,254022,41969,11306,4860,3571,2174,475,427,1
0,51,38,831394,64552,21845,56668,13970,22857,13327,7562,1
0,51,44,2448024,283358,142103,21635,62562,34412,23419,4839,1
0,47,43,689347,74991,30237,19204,8298,6691,4719,5192,1
0,60,44,250396,24727,7199,9121,5580,5650,3509,944,1
0,51,48,1077641,23874,26565,12601,6309,5020,2647,2948,1
0,44,44,224119,53846,4583,11876,2253,2847,938,1334,1
0,40,44,97566,56533,29060,11530,10596,2845,2784,468,1
0,41,43,927960,58495,22770,21311,24549,15772,8465,4336,1
0,37,24,497646,320437,18309,25563,35465,18518,18864,13536,0
0,41,26,412256,138723,34609,23694,27198,11761,5287,3210,0
0,54,23,203398,41207,11185,8961,4780,6909,5854,2198,0
0,57,24,10020,23373,13489,7411,13482,8859,7832,2181,0
0,81,24,10633,10220,527,2660,8754,5995,10144,2431,0
0,88,37,14231,7601,25300,10211,11278,4760,2788,2842,0
0,78,44,3683,34015,12309,35606,10825,3715,2667,2733,0
0,64,61,13419,5064,33334,27166,7211,4194,6611,1836,0
